State,Year,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
Minnesota,1999,Other opioids,T40.2,20,4873481,0.4
Minnesota,2000,Other opioids,T40.2,14,4919479,Unreliable
Minnesota,2001,Other opioids,T40.2,41,4982796,0.8
Minnesota,2002,Other opioids,T40.2,41,5018935,0.8
Minnesota,2003,Other opioids,T40.2,40,5053572,0.8
Minnesota,2004,Other opioids,T40.2,64,5087713,1.3
Minnesota,2005,Other opioids,T40.2,62,5119598,1.2
Minnesota,2006,Other opioids,T40.2,55,5163555,1.1
Minnesota,2007,Other opioids,T40.2,81,5207203,1.6
Minnesota,2008,Other opioids,T40.2,90,5247018,1.7
Minnesota,2009,Other opioids,T40.2,110,5281203,2.1
Minnesota,2010,Other opioids,T40.2,100,5303925,1.9
Minnesota,2011,Other opioids,T40.2,100,5344861,1.9
Minnesota,2012,Other opioids,T40.2,108,5379139,2
Minnesota,2013,Other opioids,T40.2,111,5420380,2
Minnesota,2014,Other opioids,T40.2,102,5457173,1.9
Minnesota,2015,Other opioids,T40.2,125,5489594,2.3
Minnesota,2016,Other opioids,T40.2,137,5519952,2.5
Minnesota,2017,Other opioids,T40.2,150,5576606,2.7
Minnesota,2018,Other opioids,T40.2,105,5611179,1.9
Minnesota,2019,Other opioids,T40.2,108,5639632,1.9
Minnesota,2020,Other opioids,T40.2,168,5657342,3
Mississippi,2001,Other opioids,T40.2,15,2852994,Unreliable
Mississippi,2002,Other opioids,T40.2,16,2858681,Unreliable
Mississippi,2003,Other opioids,T40.2,12,2868312,Unreliable
Mississippi,2004,Other opioids,T40.2,16,2889010,Unreliable
Mississippi,2005,Other opioids,T40.2,15,2905943,Unreliable
Mississippi,2006,Other opioids,T40.2,27,2904978,0.9
Mississippi,2007,Other opioids,T40.2,45,2928350,1.5
Mississippi,2008,Other opioids,T40.2,58,2947806,2
Mississippi,2009,Other opioids,T40.2,44,2958774,1.5
Mississippi,2010,Other opioids,T40.2,53,2967297,1.8
Mississippi,2011,Other opioids,T40.2,48,2978512,1.6
Mississippi,2012,Other opioids,T40.2,61,2984926,2
Mississippi,2013,Other opioids,T40.2,55,2991207,1.8
Mississippi,2014,Other opioids,T40.2,63,2994079,2.1
Mississippi,2015,Other opioids,T40.2,73,2992333,2.4
Mississippi,2016,Other opioids,T40.2,97,2988726,3.2
Mississippi,2017,Other opioids,T40.2,89,2984100,3
Mississippi,2018,Other opioids,T40.2,85,2986530,2.8
Mississippi,2019,Other opioids,T40.2,91,2976149,3.1
Mississippi,2020,Other opioids,T40.2,113,2966786,3.8
Missouri,1999,Other opioids,T40.2,20,5561948,0.4
Missouri,2000,Other opioids,T40.2,50,5595211,0.9
Missouri,2001,Other opioids,T40.2,53,5641142,0.9
Missouri,2002,Other opioids,T40.2,80,5674825,1.4
Missouri,2003,Other opioids,T40.2,140,5709403,2.5
Missouri,2004,Other opioids,T40.2,132,5747741,2.3
Missouri,2005,Other opioids,T40.2,139,5790300,2.4
Missouri,2006,Other opioids,T40.2,151,5842704,2.6
Missouri,2007,Other opioids,T40.2,172,5887612,2.9
Missouri,2008,Other opioids,T40.2,224,5923916,3.8
Missouri,2009,Other opioids,T40.2,189,5961088,3.2
Missouri,2010,Other opioids,T40.2,248,5988927,4.1
Missouri,2011,Other opioids,T40.2,222,6010688,3.7
Missouri,2012,Other opioids,T40.2,203,6021988,3.4
Missouri,2013,Other opioids,T40.2,237,6044171,3.9
Missouri,2014,Other opioids,T40.2,237,6063589,3.9
Missouri,2015,Other opioids,T40.2,237,6083672,3.9
Missouri,2016,Other opioids,T40.2,231,6093000,3.8
Missouri,2017,Other opioids,T40.2,226,6113532,3.7
Missouri,2018,Other opioids,T40.2,231,6126452,3.8
Missouri,2019,Other opioids,T40.2,220,6137428,3.6
Missouri,2020,Other opioids,T40.2,211,6151548,3.4
Montana,2001,Other opioids,T40.2,15,906961,Unreliable
Montana,2003,Other opioids,T40.2,16,919630,Unreliable
Montana,2004,Other opioids,T40.2,14,930009,Unreliable
Montana,2005,Other opioids,T40.2,19,940102,Unreliable
Montana,2006,Other opioids,T40.2,12,952692,Unreliable
Montana,2007,Other opioids,T40.2,25,964706,2.6
Montana,2008,Other opioids,T40.2,27,976415,2.8
Montana,2009,Other opioids,T40.2,42,983982,4.3
Montana,2010,Other opioids,T40.2,33,989415,3.3
Montana,2011,Other opioids,T40.2,32,998199,3.2
Montana,2012,Other opioids,T40.2,25,1005141,2.5
Montana,2013,Other opioids,T40.2,43,1015165,4.2
Montana,2014,Other opioids,T40.2,22,1023579,2.1
Montana,2015,Other opioids,T40.2,26,1032949,2.5
Montana,2016,Other opioids,T40.2,12,1042520,Unreliable
Montana,2017,Other opioids,T40.2,22,1050493,2.1
Montana,2018,Other opioids,T40.2,23,1062305,2.2
Montana,2019,Other opioids,T40.2,25,1068778,2.3
Montana,2020,Other opioids,T40.2,35,1080577,3.2
Nebraska,2001,Other opioids,T40.2,16,1719836,Unreliable
Nebraska,2002,Other opioids,T40.2,11,1728292,Unreliable
Nebraska,2003,Other opioids,T40.2,11,1738643,Unreliable
Nebraska,2004,Other opioids,T40.2,20,1749370,1.1
Nebraska,2005,Other opioids,T40.2,25,1761497,1.4
Nebraska,2006,Other opioids,T40.2,18,1772693,Unreliable
Nebraska,2007,Other opioids,T40.2,23,1783440,1.3
Nebraska,2008,Other opioids,T40.2,14,1796378,Unreliable
Nebraska,2009,Other opioids,T40.2,35,1812683,1.9
Nebraska,2010,Other opioids,T40.2,33,1826341,1.8
Nebraska,2011,Other opioids,T40.2,33,1842641,1.8
Nebraska,2012,Other opioids,T40.2,27,1855525,1.5
Nebraska,2013,Other opioids,T40.2,33,1868516,1.8
Nebraska,2014,Other opioids,T40.2,30,1881503,1.6
Nebraska,2015,Other opioids,T40.2,30,1896190,1.6
Nebraska,2016,Other opioids,T40.2,22,1907116,1.2
Nebraska,2017,Other opioids,T40.2,32,1920076,1.7
Nebraska,2018,Other opioids,T40.2,37,1929268,1.9
Nebraska,2019,Other opioids,T40.2,35,1934408,1.8
Nebraska,2020,Other opioids,T40.2,30,1937552,1.5
Nevada,1999,Other opioids,T40.2,80,1934718,4.1
Nevada,2000,Other opioids,T40.2,98,1998257,4.9
Nevada,2001,Other opioids,T40.2,87,2098399,4.1
Nevada,2002,Other opioids,T40.2,92,2173791,4.2
Nevada,2003,Other opioids,T40.2,111,2248850,4.9
Nevada,2004,Other opioids,T40.2,94,2346222,4
Nevada,2005,Other opioids,T40.2,153,2432143,6.3
Nevada,2006,Other opioids,T40.2,174,2522658,6.9
Nevada,2007,Other opioids,T40.2,187,2601072,7.2
Nevada,2008,Other opioids,T40.2,214,2653630,8.1
Nevada,2009,Other opioids,T40.2,256,2684665,9.5
Nevada,2010,Other opioids,T40.2,300,2700551,11.1
Nevada,2011,Other opioids,T40.2,302,2723322,11.1
Nevada,2012,Other opioids,T40.2,305,2758931,11.1
Nevada,2013,Other opioids,T40.2,242,2790136,8.7
Nevada,2014,Other opioids,T40.2,224,2839099,7.9
Nevada,2015,Other opioids,T40.2,259,2890845,9
Nevada,2016,Other opioids,T40.2,235,2940058,8
Nevada,2017,Other opioids,T40.2,239,2998039,8
Nevada,2018,Other opioids,T40.2,212,3034392,7
Nevada,2019,Other opioids,T40.2,168,3080156,5.5
Nevada,2020,Other opioids,T40.2,219,3138259,7
New Hampshire,1999,Other opioids,T40.2,17,1222014,Unreliable
New Hampshire,2001,Other opioids,T40.2,18,1255517,Unreliable
New Hampshire,2002,Other opioids,T40.2,17,1269089,Unreliable
New Hampshire,2003,Other opioids,T40.2,22,1279840,1.7
New Hampshire,2004,Other opioids,T40.2,28,1290121,2.2
New Hampshire,2005,Other opioids,T40.2,23,1298492,1.8
New Hampshire,2006,Other opioids,T40.2,37,1308389,2.8
New Hampshire,2007,Other opioids,T40.2,54,1312540,4.1
New Hampshire,2008,Other opioids,T40.2,48,1315906,3.6
New Hampshire,2009,Other opioids,T40.2,45,1316102,3.4
New Hampshire,2010,Other opioids,T40.2,61,1316470,4.6
New Hampshire,2011,Other opioids,T40.2,65,1318194,4.9
New Hampshire,2012,Other opioids,T40.2,56,1320718,4.2
New Hampshire,2013,Other opioids,T40.2,62,1323459,4.7
New Hampshire,2014,Other opioids,T40.2,81,1326813,6.1
New Hampshire,2015,Other opioids,T40.2,63,1330608,4.7
New Hampshire,2016,Other opioids,T40.2,69,1334795,5.2
New Hampshire,2017,Other opioids,T40.2,51,1342795,3.8
New Hampshire,2018,Other opioids,T40.2,34,1356458,2.5
New Hampshire,2019,Other opioids,T40.2,38,1359711,2.8
New Hampshire,2020,Other opioids,T40.2,29,1366275,2.1
New Jersey,1999,Other opioids,T40.2,94,8359592,1.1
New Jersey,2000,Other opioids,T40.2,77,8414350,0.9
New Jersey,2001,Other opioids,T40.2,93,8492671,1.1
New Jersey,2002,Other opioids,T40.2,95,8552643,1.1
New Jersey,2003,Other opioids,T40.2,114,8601402,1.3
New Jersey,2004,Other opioids,T40.2,88,8634561,1
New Jersey,2005,Other opioids,T40.2,126,8651974,1.5
New Jersey,2006,Other opioids,T40.2,140,8661679,1.6
New Jersey,2007,Other opioids,T40.2,134,8677885,1.5
New Jersey,2008,Other opioids,T40.2,124,8711090,1.4
New Jersey,2009,Other opioids,T40.2,14,8755602,Unreliable
New Jersey,2010,Other opioids,T40.2,173,8791894,2
New Jersey,2011,Other opioids,T40.2,220,8821155,2.5
New Jersey,2012,Other opioids,T40.2,217,8864590,2.4
New Jersey,2013,Other opioids,T40.2,231,8899339,2.6
New Jersey,2014,Other opioids,T40.2,245,8938175,2.7
New Jersey,2015,Other opioids,T40.2,237,8958013,2.6
New Jersey,2016,Other opioids,T40.2,346,8944469,3.9
New Jersey,2017,Other opioids,T40.2,424,9005644,4.7
New Jersey,2018,Other opioids,T40.2,412,8908520,4.6
New Jersey,2019,Other opioids,T40.2,360,8882190,4.1
New Jersey,2020,Other opioids,T40.2,335,8882371,3.8
New Mexico,1999,Other opioids,T40.2,113,1808082,6.2
New Mexico,2000,Other opioids,T40.2,100,1819046,5.5
New Mexico,2001,Other opioids,T40.2,84,1831690,4.6
New Mexico,2002,Other opioids,T40.2,135,1855309,7.3
New Mexico,2003,Other opioids,T40.2,144,1877574,7.7
New Mexico,2004,Other opioids,T40.2,98,1903808,5.1
New Mexico,2005,Other opioids,T40.2,130,1932274,6.7
New Mexico,2006,Other opioids,T40.2,165,1962137,8.4
New Mexico,2007,Other opioids,T40.2,175,1990070,8.8
New Mexico,2008,Other opioids,T40.2,204,2010662,10.1
New Mexico,2009,Other opioids,T40.2,119,2036802,5.8
New Mexico,2010,Other opioids,T40.2,114,2059179,5.5
New Mexico,2011,Other opioids,T40.2,127,2082224,6.1
New Mexico,2012,Other opioids,T40.2,179,2085538,8.6
New Mexico,2013,Other opioids,T40.2,209,2085287,10
New Mexico,2014,Other opioids,T40.2,223,2085572,10.7
New Mexico,2015,Other opioids,T40.2,160,2085109,7.7
New Mexico,2016,Other opioids,T40.2,153,2081015,7.4
New Mexico,2017,Other opioids,T40.2,144,2088070,6.9
New Mexico,2018,Other opioids,T40.2,133,2095428,6.3
New Mexico,2019,Other opioids,T40.2,140,2096829,6.7
New Mexico,2020,Other opioids,T40.2,156,2106319,7.4
New York,1999,Other opioids,T40.2,48,18882725,0.3
New York,2000,Other opioids,T40.2,34,18976457,0.2
New York,2001,Other opioids,T40.2,68,19082838,0.4
New York,2002,Other opioids,T40.2,45,19137800,0.2
New York,2003,Other opioids,T40.2,65,19175939,0.3
New York,2004,Other opioids,T40.2,82,19171567,0.4
New York,2005,Other opioids,T40.2,100,19132610,0.5
New York,2006,Other opioids,T40.2,281,19104631,1.5
New York,2007,Other opioids,T40.2,394,19132335,2.1
New York,2008,Other opioids,T40.2,466,19212436,2.4
New York,2009,Other opioids,T40.2,455,19307066,2.4
New York,2010,Other opioids,T40.2,526,19378102,2.7
New York,2011,Other opioids,T40.2,621,19465197,3.2
New York,2012,Other opioids,T40.2,616,19570261,3.1
New York,2013,Other opioids,T40.2,644,19651127,3.3
New York,2014,Other opioids,T40.2,608,19746227,3.1
New York,2015,Other opioids,T40.2,705,19795791,3.6
New York,2016,Other opioids,T40.2,892,19745289,4.5
New York,2017,Other opioids,T40.2,821,19849399,4.1
New York,2018,Other opioids,T40.2,781,19542209,4
New York,2019,Other opioids,T40.2,709,19453561,3.6
New York,2020,Other opioids,T40.2,937,19336776,4.8
North Carolina,1999,Other opioids,T40.2,52,7949361,0.7
North Carolina,2000,Other opioids,T40.2,114,8049313,1.4
North Carolina,2001,Other opioids,T40.2,148,8210122,1.8
North Carolina,2002,Other opioids,T40.2,134,8326201,1.6
North Carolina,2003,Other opioids,T40.2,139,8422501,1.7
North Carolina,2004,Other opioids,T40.2,163,8553152,1.9
North Carolina,2005,Other opioids,T40.2,215,8705407,2.5
North Carolina,2006,Other opioids,T40.2,245,8917270,2.7
North Carolina,2007,Other opioids,T40.2,304,9118037,3.3
North Carolina,2008,Other opioids,T40.2,409,9309449,4.4
North Carolina,2009,Other opioids,T40.2,426,9449566,4.5
North Carolina,2010,Other opioids,T40.2,428,9535483,4.5
North Carolina,2011,Other opioids,T40.2,439,9656401,4.5
North Carolina,2012,Other opioids,T40.2,410,9752073,4.2
North Carolina,2013,Other opioids,T40.2,397,9848060,4
North Carolina,2014,Other opioids,T40.2,462,9943964,4.6
North Carolina,2015,Other opioids,T40.2,554,10042802,5.5
North Carolina,2016,Other opioids,T40.2,611,10146788,6
North Carolina,2017,Other opioids,T40.2,573,10273419,5.6
North Carolina,2018,Other opioids,T40.2,422,10383620,4.1
North Carolina,2019,Other opioids,T40.2,360,10488084,3.4
North Carolina,2020,Other opioids,T40.2,399,10600823,3.8
North Dakota,2008,Other opioids,T40.2,13,657569,Unreliable
North Dakota,2010,Other opioids,T40.2,12,672591,Unreliable
North Dakota,2014,Other opioids,T40.2,17,739482,Unreliable
North Dakota,2015,Other opioids,T40.2,15,756927,Unreliable
North Dakota,2016,Other opioids,T40.2,17,757952,Unreliable
North Dakota,2017,Other opioids,T40.2,18,755393,Unreliable
North Dakota,2018,Other opioids,T40.2,20,760077,2.6
North Dakota,2019,Other opioids,T40.2,24,762062,3.1
North Dakota,2020,Other opioids,T40.2,19,765309,Unreliable
Ohio,1999,Other opioids,T40.2,74,11335454,0.7
Ohio,2000,Other opioids,T40.2,107,11353140,0.9
Ohio,2001,Other opioids,T40.2,144,11387404,1.3
Ohio,2002,Other opioids,T40.2,188,11407889,1.6
Ohio,2003,Other opioids,T40.2,160,11434788,1.4
Ohio,2004,Other opioids,T40.2,184,11452251,1.6
Ohio,2005,Other opioids,T40.2,206,11463320,1.8
Ohio,2006,Other opioids,T40.2,250,11481213,2.2
Ohio,2007,Other opioids,T40.2,284,11500468,2.5
Ohio,2008,Other opioids,T40.2,330,11515391,2.9
Ohio,2009,Other opioids,T40.2,289,11528896,2.5
Ohio,2010,Other opioids,T40.2,516,11536504,4.5
Ohio,2011,Other opioids,T40.2,582,11544951,5
Ohio,2012,Other opioids,T40.2,499,11544225,4.3
Ohio,2013,Other opioids,T40.2,518,11570808,4.5
Ohio,2014,Other opioids,T40.2,618,11594163,5.3
Ohio,2015,Other opioids,T40.2,690,11613423,5.9
Ohio,2016,Other opioids,T40.2,785,11614373,6.8
Ohio,2017,Other opioids,T40.2,854,11658609,7.3
Ohio,2018,Other opioids,T40.2,507,11689442,4.3
Ohio,2019,Other opioids,T40.2,410,11689100,3.5
Ohio,2020,Other opioids,T40.2,441,11693217,3.8
Oklahoma,1999,Other opioids,T40.2,50,3437147,1.5
Oklahoma,2000,Other opioids,T40.2,68,3450654,2
Oklahoma,2001,Other opioids,T40.2,94,3467100,2.7
Oklahoma,2002,Other opioids,T40.2,81,3489080,2.3
Oklahoma,2003,Other opioids,T40.2,141,3504892,4
Oklahoma,2004,Other opioids,T40.2,145,3525233,4.1
Oklahoma,2005,Other opioids,T40.2,170,3548597,4.8
Oklahoma,2006,Other opioids,T40.2,208,3594090,5.8
Oklahoma,2007,Other opioids,T40.2,284,3634349,7.8
Oklahoma,2008,Other opioids,T40.2,249,3668976,6.8
Oklahoma,2009,Other opioids,T40.2,343,3717572,9.2
Oklahoma,2010,Other opioids,T40.2,341,3751351,9.1
Oklahoma,2011,Other opioids,T40.2,349,3791508,9.2
Oklahoma,2012,Other opioids,T40.2,380,3814820,10
Oklahoma,2013,Other opioids,T40.2,375,3850568,9.7
Oklahoma,2014,Other opioids,T40.2,370,3878051,9.5
Oklahoma,2015,Other opioids,T40.2,277,3911338,7.1
Oklahoma,2016,Other opioids,T40.2,285,3923561,7.3
Oklahoma,2017,Other opioids,T40.2,226,3930864,5.7
Oklahoma,2018,Other opioids,T40.2,154,3943079,3.9
Oklahoma,2019,Other opioids,T40.2,114,3956971,2.9
Oklahoma,2020,Other opioids,T40.2,100,3980783,2.5
Oregon,1999,Other opioids,T40.2,26,3393941,0.8
Oregon,2000,Other opioids,T40.2,26,3421399,0.8
Oregon,2001,Other opioids,T40.2,41,3467937,1.2
Oregon,2002,Other opioids,T40.2,50,3513424,1.4
Oregon,2003,Other opioids,T40.2,80,3547376,2.3
Oregon,2004,Other opioids,T40.2,66,3569463,1.8
Oregon,2005,Other opioids,T40.2,80,3613202,2.2
Oregon,2006,Other opioids,T40.2,122,3670883,3.3
Oregon,2007,Other opioids,T40.2,94,3722417,2.5
Oregon,2008,Other opioids,T40.2,92,3768748,2.4
Oregon,2009,Other opioids,T40.2,127,3808600,3.3
Oregon,2010,Other opioids,T40.2,135,3831074,3.5
Oregon,2011,Other opioids,T40.2,159,3871859,4.1
Oregon,2012,Other opioids,T40.2,145,3899353,3.7
Oregon,2013,Other opioids,T40.2,119,3930065,3
Oregon,2014,Other opioids,T40.2,137,3970239,3.5
Oregon,2015,Other opioids,T40.2,150,4028977,3.7
Oregon,2016,Other opioids,T40.2,128,4093465,3.1
Oregon,2017,Other opioids,T40.2,124,4142776,3
Oregon,2018,Other opioids,T40.2,123,4190713,2.9
Oregon,2019,Other opioids,T40.2,102,4217737,2.4
Oregon,2020,Other opioids,T40.2,111,4241507,2.6
Pennsylvania,1999,Other opioids,T40.2,79,12263805,0.6
Pennsylvania,2000,Other opioids,T40.2,97,12281054,0.8
Pennsylvania,2001,Other opioids,T40.2,70,12298970,0.6
Pennsylvania,2002,Other opioids,T40.2,94,12331031,0.8
Pennsylvania,2003,Other opioids,T40.2,131,12374658,1.1
Pennsylvania,2004,Other opioids,T40.2,154,12410722,1.2
Pennsylvania,2005,Other opioids,T40.2,157,12449990,1.3
Pennsylvania,2006,Other opioids,T40.2,140,12510809,1.1
Pennsylvania,2007,Other opioids,T40.2,214,12563937,1.7
Pennsylvania,2008,Other opioids,T40.2,260,12612285,2.1
Pennsylvania,2009,Other opioids,T40.2,292,12666858,2.3
Pennsylvania,2010,Other opioids,T40.2,328,12702379,2.6
Pennsylvania,2011,Other opioids,T40.2,325,12742886,2.6
Pennsylvania,2012,Other opioids,T40.2,358,12763536,2.8
Pennsylvania,2013,Other opioids,T40.2,406,12773801,3.2
Pennsylvania,2014,Other opioids,T40.2,411,12787209,3.2
Pennsylvania,2015,Other opioids,T40.2,460,12802503,3.6
Pennsylvania,2016,Other opioids,T40.2,634,12784227,5
Pennsylvania,2017,Other opioids,T40.2,564,12805537,4.4
Pennsylvania,2018,Other opioids,T40.2,595,12807060,4.6
Pennsylvania,2019,Other opioids,T40.2,505,12801989,3.9
Pennsylvania,2020,Other opioids,T40.2,624,12783254,4.9
Rhode Island,2001,Other opioids,T40.2,17,1057142,Unreliable
Rhode Island,2003,Other opioids,T40.2,14,1071342,Unreliable
Rhode Island,2004,Other opioids,T40.2,19,1074579,Unreliable
Rhode Island,2005,Other opioids,T40.2,24,1067916,2.2
Rhode Island,2006,Other opioids,T40.2,33,1063096,3.1
Rhode Island,2007,Other opioids,T40.2,17,1057315,Unreliable
Rhode Island,2008,Other opioids,T40.2,29,1055003,2.7
Rhode Island,2009,Other opioids,T40.2,26,1053646,2.5
Rhode Island,2010,Other opioids,T40.2,45,1052567,4.3
Rhode Island,2011,Other opioids,T40.2,62,1051302,5.9
Rhode Island,2012,Other opioids,T40.2,72,1050292,6.9
Rhode Island,2013,Other opioids,T40.2,80,1051511,7.6
Rhode Island,2014,Other opioids,T40.2,70,1055173,6.6
Rhode Island,2015,Other opioids,T40.2,95,1056298,9
Rhode Island,2016,Other opioids,T40.2,89,1056426,8.4
Rhode Island,2017,Other opioids,T40.2,74,1059639,7
Rhode Island,2018,Other opioids,T40.2,58,1057315,5.5
Rhode Island,2019,Other opioids,T40.2,42,1059361,4
Rhode Island,2020,Other opioids,T40.2,42,1057125,4
South Carolina,1999,Other opioids,T40.2,23,3974682,0.6
South Carolina,2000,Other opioids,T40.2,41,4012012,1
South Carolina,2001,Other opioids,T40.2,55,4064995,1.4
South Carolina,2002,Other opioids,T40.2,37,4107795,0.9
South Carolina,2003,Other opioids,T40.2,54,4150297,1.3
South Carolina,2004,Other opioids,T40.2,59,4210921,1.4
South Carolina,2005,Other opioids,T40.2,59,4270150,1.4
South Carolina,2006,Other opioids,T40.2,115,4357847,2.6
South Carolina,2007,Other opioids,T40.2,112,4444110,2.5
South Carolina,2008,Other opioids,T40.2,120,4528996,2.6
South Carolina,2009,Other opioids,T40.2,126,4589872,2.7
South Carolina,2010,Other opioids,T40.2,146,4625364,3.2
South Carolina,2011,Other opioids,T40.2,144,4679230,3.1
South Carolina,2012,Other opioids,T40.2,148,4723723,3.1
South Carolina,2013,Other opioids,T40.2,144,4774839,3
South Carolina,2014,Other opioids,T40.2,319,4832482,6.6
South Carolina,2015,Other opioids,T40.2,322,4896146,6.6
South Carolina,2016,Other opioids,T40.2,342,4961119,6.9
South Carolina,2017,Other opioids,T40.2,312,5024369,6.2
South Carolina,2018,Other opioids,T40.2,330,5084127,6.5
South Carolina,2019,Other opioids,T40.2,331,5148714,6.4
South Carolina,2020,Other opioids,T40.2,400,5218040,7.7
South Dakota,2005,Other opioids,T40.2,14,775493,Unreliable
South Dakota,2006,Other opioids,T40.2,18,783033,Unreliable
South Dakota,2007,Other opioids,T40.2,11,791623,Unreliable
South Dakota,2008,Other opioids,T40.2,15,799124,Unreliable
South Dakota,2009,Other opioids,T40.2,19,807067,Unreliable
South Dakota,2010,Other opioids,T40.2,20,814180,2.5
South Dakota,2011,Other opioids,T40.2,21,824082,2.5
South Dakota,2012,Other opioids,T40.2,17,833354,Unreliable
South Dakota,2013,Other opioids,T40.2,27,844877,3.2
South Dakota,2014,Other opioids,T40.2,20,853175,2.3
South Dakota,2015,Other opioids,T40.2,10,858469,Unreliable
South Dakota,2016,Other opioids,T40.2,25,865454,2.9
South Dakota,2017,Other opioids,T40.2,14,869666,Unreliable
South Dakota,2019,Other opioids,T40.2,15,884659,Unreliable
South Dakota,2020,Other opioids,T40.2,15,892717,Unreliable
Tennessee,1999,Other opioids,T40.2,44,5638706,0.8
Tennessee,2000,Other opioids,T40.2,55,5689283,1
Tennessee,2001,Other opioids,T40.2,86,5750789,1.5
Tennessee,2002,Other opioids,T40.2,80,5795918,1.4
Tennessee,2003,Other opioids,T40.2,142,5847812,2.4
Tennessee,2004,Other opioids,T40.2,184,5910809,3.1
Tennessee,2005,Other opioids,T40.2,223,5991057,3.7
Tennessee,2006,Other opioids,T40.2,221,6088766,3.6
Tennessee,2007,Other opioids,T40.2,236,6175727,3.8
Tennessee,2008,Other opioids,T40.2,266,6247411,4.3
Tennessee,2009,Other opioids,T40.2,342,6306019,5.4
Tennessee,2010,Other opioids,T40.2,422,6346105,6.6
Tennessee,2011,Other opioids,T40.2,451,6403353,7
Tennessee,2012,Other opioids,T40.2,491,6456243,7.6
Tennessee,2013,Other opioids,T40.2,524,6495978,8.1
Tennessee,2014,Other opioids,T40.2,554,6549352,8.5
Tennessee,2015,Other opioids,T40.2,643,6600299,9.7
Tennessee,2016,Other opioids,T40.2,679,6651194,10.2
Tennessee,2017,Other opioids,T40.2,592,6715984,8.8
Tennessee,2018,Other opioids,T40.2,500,6770010,7.4
Tennessee,2019,Other opioids,T40.2,469,6829174,6.9
Tennessee,2020,Other opioids,T40.2,558,6886834,8.1
Texas,1999,Other opioids,T40.2,118,20558220,0.6
Texas,2000,Other opioids,T40.2,151,20851820,0.7
Texas,2001,Other opioids,T40.2,214,21319622,1
Texas,2002,Other opioids,T40.2,307,21690325,1.4
Texas,2003,Other opioids,T40.2,360,22030931,1.6
Texas,2004,Other opioids,T40.2,359,22394023,1.6
Texas,2005,Other opioids,T40.2,401,22778123,1.8
Texas,2006,Other opioids,T40.2,564,23359580,2.4
Texas,2007,Other opioids,T40.2,515,23831983,2.2
Texas,2008,Other opioids,T40.2,440,24309039,1.8
Texas,2009,Other opioids,T40.2,534,24801761,2.2
Texas,2010,Other opioids,T40.2,540,25145561,2.1
Texas,2011,Other opioids,T40.2,521,25674681,2
Texas,2012,Other opioids,T40.2,480,26059203,1.8
Texas,2013,Other opioids,T40.2,452,26448193,1.7
Texas,2014,Other opioids,T40.2,471,26956958,1.7
Texas,2015,Other opioids,T40.2,473,27469114,1.7
Texas,2016,Other opioids,T40.2,501,27862596,1.8
Texas,2017,Other opioids,T40.2,535,28304596,1.9
Texas,2018,Other opioids,T40.2,459,28701845,1.6
Texas,2019,Other opioids,T40.2,447,28995881,1.5
Texas,2020,Other opioids,T40.2,539,29360759,1.8
Utah,1999,Other opioids,T40.2,95,2203482,4.3
Utah,2000,Other opioids,T40.2,107,2233169,4.8
Utah,2001,Other opioids,T40.2,98,2283715,4.3
Utah,2002,Other opioids,T40.2,122,2324815,5.2
Utah,2003,Other opioids,T40.2,157,2360137,6.7
Utah,2004,Other opioids,T40.2,148,2401580,6.2
Utah,2005,Other opioids,T40.2,181,2457719,7.4
Utah,2006,Other opioids,T40.2,192,2525507,7.6
Utah,2007,Other opioids,T40.2,238,2597746,9.2
Utah,2008,Other opioids,T40.2,227,2663029,8.5
Utah,2009,Other opioids,T40.2,254,2723421,9.3
Utah,2010,Other opioids,T40.2,222,2763885,8
Utah,2011,Other opioids,T40.2,280,2817222,9.9
Utah,2012,Other opioids,T40.2,328,2855287,11.5
Utah,2013,Other opioids,T40.2,358,2900872,12.3
Utah,2014,Other opioids,T40.2,367,2942902,12.5
Utah,2015,Other opioids,T40.2,357,2995919,11.9
Utah,2016,Other opioids,T40.2,322,3051217,10.6
Utah,2017,Other opioids,T40.2,290,3101833,9.3
Utah,2018,Other opioids,T40.2,279,3161105,8.8
Utah,2019,Other opioids,T40.2,257,3205958,8
Utah,2020,Other opioids,T40.2,225,3249879,6.9
Vermont,2000,Other opioids,T40.2,15,608827,Unreliable
Vermont,2001,Other opioids,T40.2,18,612223,Unreliable
Vermont,2002,Other opioids,T40.2,19,615442,Unreliable
Vermont,2003,Other opioids,T40.2,30,617858,4.9
Vermont,2004,Other opioids,T40.2,24,619920,3.9
Vermont,2005,Other opioids,T40.2,17,621215,Unreliable
Vermont,2006,Other opioids,T40.2,24,622892,3.9
Vermont,2007,Other opioids,T40.2,28,623481,4.5
Vermont,2008,Other opioids,T40.2,32,624151,5.1
Vermont,2009,Other opioids,T40.2,23,624817,3.7
Vermont,2010,Other opioids,T40.2,27,625741,4.3
Vermont,2011,Other opioids,T40.2,30,626431,4.8
Vermont,2012,Other opioids,T40.2,27,626011,4.3
Vermont,2013,Other opioids,T40.2,37,626630,5.9
Vermont,2014,Other opioids,T40.2,21,626562,3.4
Vermont,2015,Other opioids,T40.2,25,626042,4
Vermont,2016,Other opioids,T40.2,23,624594,3.7
Vermont,2017,Other opioids,T40.2,27,623657,4.3
Vermont,2018,Other opioids,T40.2,20,626299,3.2
Vermont,2019,Other opioids,T40.2,22,623989,3.5
